Angle,Inner_Radius,Outer_Radius,Distance
121,315.5724956329369,316.76016163652906,1.1876660035921418
122,314.8412298286233,316.30365157550744,1.4624217468841607
123,314.23876272668844,315.6342820417326,1.3955193150441687
124,313.70368184004474,314.836465486449,1.1327836464042775
125,313.05750270517393,314.3405796266209,1.283076921446991
126,312.200256245891,313.4230368048909,1.2227805589998866
127,311.8092365533773,313.0255580619576,1.2163215085803358
128,311.5670072392133,312.6739515853535,1.1069443461402102
129,311.1334118991401,312.40998703626616,1.2765751371260308
130,309.78218154051405,311.52046481732145,1.7382832768074081
131,309.43335308269536,310.4383996866367,1.0050466039413664
132,308.50607773591753,309.3622472119053,0.8561694759877696
133,307.6572768520192,309.1876452900407,1.530368438021469
134,306.88760157425713,308.3277476971542,1.4401461228970902
135,306.1976485866604,307.59876462690806,1.4011160402476435
136,305.5879578779242,306.96579614022147,1.3778382622972458
137,305.05901068481813,306.413119823548,1.354109138729882
138,287.76726707532254,321.06852851065923,33.3012614353367
139,269.0074348414928,322.14903383372115,53.14159899222835
140,245.97967395701622,321.6286678764814,75.6489939194652
141,169.45205811674285,320.93768865622496,151.48563053948212
142,164.01219466856725,320.22023671217283,156.2080420436056
143,163.21764610482532,319.4010018769509,156.18335577212557
144,162.63148526653748,318.8683113763423,156.23682610980484
145,161.7188919081503,318.190194694934,156.4713027867837
146,161.14899937635357,317.28851224083104,156.13951286447747
147,160.37767924496225,316.76489704511135,156.3872178001491
148,160.18114745499858,316.09650425147066,155.91535679647208
149,160.01562423713506,315.729314445143,155.71369020800796
150,159.88120589988054,314.92538798896476,155.04418208908422
151,159.29846201391902,314.2117120668802,154.91325005296116
152,159.2388143638353,313.5889028648814,154.3500885010461
153,159.21055241409096,313.05750270517393,153.84695029108298
154,158.7765725792064,312.2178726466504,153.441300067444
155,158.8238017426859,311.8493225902535,153.0255208475676
156,158.09490820390135,311.20732639190874,153.11241818800738
157,158.2308440222702,310.69277429641005,152.46193027413986
158,158.02847844613325,310.4834939252005,152.45501547906724
159,157.54364474646383,309.80800506119914,152.2643603147353
160,157.8131806916013,309.3638634359223,151.55068274432102
161,149.57606760441325,308.6486675817668,159.07259997735355
162,148.66068747318505,308.3585575267857,159.69787005360067
163,149.04026301640775,308.1330881291394,159.09282511273167
164,148.48905683584903,307.688153818115,159.19909698226596
165,148.43180252223578,307.3271872125862,158.8953846903504
166,148.93287078412206,307.0504844484047,158.11761366428263
167,148.70776711389354,306.6349621292393,157.92719501534575
168,148.85227576359054,306.33968074671617,157.48740498312563
169,148.47558721890948,305.9836596944353,157.5080724755258
170,148.94629904767692,305.6304958606062,156.68419681292926
171,147.648230602334,305.3342430845253,157.68601248219133
172,147.36349615830918,304.9065430586887,157.54304690037955
173,147.8681845428556,305.1311193569086,157.26293481405298
174,148.66068747318505,303.58689036254515,154.9262028893601
175,160.44936896105264,289.0830330545188,128.63366409346617
176,160.31219541881399,281.64161624305456,121.32942082424057
177,160.11246047700348,281.3485382936972,121.2360778166937
178,160.0281225285106,282.0638225650358,122.03570003652521
179,160.0124995117569,281.0284683088174,121.01596879706054
180,160.0,281.0284683088174,121.02846830881742
181,161.02794788483146,281.1440911703463,120.11614328551485
182,161.11176245079065,281.3485382936972,120.23677584290652
183,161.25135658344087,281.64161624305456,120.39025965961369
184,280.8629559055448,281.78360491696463,0.9206490114198118
185,281.1138559374119,281.4977797425763,0.38392380516438607
186,281.60255680657446,282.0567318820808,0.45417507550632763
187,281.18677067031444,281.71261952564356,0.5258488553291158
188,281.85279846047297,282.44822534404426,0.5954268835712924
189,281.61853632174143,282.93108701590216,1.312550694160734
190,267.89923478800756,303.40237309553135,35.503138307523784
191,155.12897859523216,304.58660508958695,149.4576264943548
192,155.54099138169335,305.00655730656024,149.4655659248669
193,155.46703830716015,305.1376738457577,149.67063553859757
194,155.7080601638849,305.60104711862493,149.89298695474002
195,155.502411556863,305.76461534978176,150.26220379291877
196,156.32018423735306,306.2188759694608,149.89869173210772
197,155.93909067324972,306.45228013509706,150.51318946184733
198,156.21779668142807,306.7409330363328,150.52313635490475
199,156.26259949200897,307.1432890362412,150.8806895442322
200,156.37135287513502,307.35809733924367,150.98674446410865
